date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:18:00	281602/281602	---M-Z	200	added ('OK')	text/html	etag:%221dc9d0e-44c02-5f69b1b8d8be8-gzip%22	https://themes.pixelstrap.com/fastkart/front-end/index.html	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/front-end/index.html	(from )
15:18:00	31/31	---M--	200	added ('OK')	text/plain	etag:%221c5ed12-1f-573674df1a4fa%22	https://themes.pixelstrap.com/robots.txt		(from )
15:18:01	416/416	---M--	200	added ('OK')	image/png	etag:%221dc5da7-1a0-5e53c70092800%22	https://themes.pixelstrap.com/fastkart/assets/images/favicon/1.png	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/images/favicon/1.png	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
15:18:01	63504/63504	---M--	200	added ('OK')	text/css	etag:%221d43a28-f810-5e710d7688ec0%22	https://themes.pixelstrap.com/fastkart/assets/css/animate.min.css	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/css/animate.min.css	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
15:18:01	197384/197384	---M--	200	added ('OK')	text/css	etag:%221dc58ff-30308-5eec0dc608d80%22	https://themes.pixelstrap.com/fastkart/assets/css/vendors/bootstrap.css	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/css/vendors/bootstrap.css	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
15:18:01	133346/133346	---M--	200	added ('OK')	text/css	etag:%221dc59a7-208e2-5eec0dc608d80%22	https://themes.pixelstrap.com/fastkart/assets/css/vendors/font-awesome.css	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/css/vendors/font-awesome.css	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
15:18:01	2310/2310	---M--	200	added ('OK')	text/css	etag:%221dc598d-906-5eec0dc608d80%22	https://themes.pixelstrap.com/fastkart/assets/css/vendors/feather-icon.css	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/css/vendors/feather-icon.css	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
15:18:02	1215/1215	---M--	200	added ('OK')	text/css	etag:%221dc59ba-4bf-5eec0dc7f1200%22	https://themes.pixelstrap.com/fastkart/assets/css/vendors/slick/slick.css	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/css/vendors/slick/slick.css	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
15:18:02	2425/2425	---M--	200	added ('OK')	text/css	etag:%221dc59b9-979-5eec0dc7f1200%22	https://themes.pixelstrap.com/fastkart/assets/css/vendors/slick/slick-theme.css	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/css/vendors/slick/slick-theme.css	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
15:18:02	7799/7799	---M--	200	added ('OK')	text/css	etag:%221d43ac9-1e77-5e710d7965580%22	https://themes.pixelstrap.com/fastkart/assets/css/bulk-style.css	C:/Users/93in/OneDrive/Desktop/mind%20luster%20certificates/fastkart/themes.pixelstrap.com/fastkart/assets/css/bulk-style.css	(from https://themes.pixelstrap.com/fastkart/front-end/index.html)
